authorID,name,location,reviewCount,friendCount,photoCount
9Ep8W_pEk5VQ2-mShfwF_g,Linda S.,"Chicago, IL",69,350,122
ok7yjQ5Bcz2R55J-SwQGuQ,Cassandra A.,"Chicago, IL",213,58,306
QnIrewrXxFnssw_gG1gF-Q,Sarah S.,"Chicago, IL",2469,4474,15545
6Ke0XTt05X9UdTB9kvynug,Helen Z.,"Chicago, IL",29,106,28
ZdizwYwPiIlhK3G2u-fZnA,Sylvia Y.,"Santa Clara, CA",449,91,843
xSiaB8hXMYvPbZyBEgx2Wg,Christina W.,"Chicago, IL",212,12,24
K_fpQ36ChQyiOZn3jgunEw,Ivan M.,"Chicago, IL",17,316,12
iFadxdXUK118lr-gx6-2tA,Ida D.,"Evanston, IL",156,127,294
FiZn-x6ZSoKyeskbxpvE1w,Emma B.,"Chicago, IL",121,24,181
QnIrewrXxFnssw_gG1gF-Q,Sarah S.,"Chicago, IL",2469,4474,15545
eHN3ndlTxXh92Ck7fnkaHQ,Jessie Elizabeth J.,"Chicago, IL",175,16,32
q_IMsW8_z54AgdVnzCWtlA,Jordan E.,"Chicago, IL",191,360,132
RfTSLTOpO8lBNXYz9DEiiA,Joanna W.,"Evanston, IL",536,524,400
tVzuwcgE-MmYljVURGYvOg,Shannon E.,"River Forest, IL",110,506,541
UXhsy6glmOZFiAcwsN435g,David W.,"Highland, CA",20,21,28
9RwnXk7_r1WQl62MyGko5g,Debbie M.,"Justice, IL",168,59,76
xOPtyDwFG2tlvxp8R5Gcgg,Francois Paul T.,"Nashville, TN",56,133,10
iRDYlL8FwVUatX39IfkLVw,Carlos H.,"Lincoln Park, Chicago, IL",9,3,7
SqoLlIS1ihLiPze3JH6_FQ,Chis R.,"Chicago, IL",12,182,13
9MAPPnMBbVWnt0ccNHXxtw,Stephanie M.,"Chicago, IL",46,42,10
J8mFTJfBBBaShBX1WV30hA,Alex B.,"Glencoe, IL",188,134,45
JtQAVVqRZ5-7rAEx0imJJg,Xuan M.,"Chicago, IL",111,617,344
s1lSqHleEH3OLjUwy6tcYg,Racheal S.,"Chicago, IL",134,67,78
GUMV1seXc5-JjlodoDO3Cw,Alejandra F.,"Chicago, IL",140,396,90
